[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/10/03 01:00:00,No.24SC,2,13T001       ,200,180,0,0,1
2020/10/03 02:00:00,No.24SC,2,13T001       ,200,175,8382,0,1
2020/10/03 03:00:00,No.24SC,2,13T001       ,200,175,8480,0,1
2020/10/03 04:00:00,No.24SC,2,13T001       ,200,0,7869,0,1
2020/10/03 05:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/03 06:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/03 07:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/03 08:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/03 09:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/03 10:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/03 11:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/03 12:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/03 13:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/03 14:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/03 15:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/03 16:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/03 17:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/03 18:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/03 19:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/03 20:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/03 21:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/03 22:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/03 23:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/04 00:00:00,No.24SC,2,13T001       ,200,0,0,0,1
