[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/10/15 01:00:00,No.24SC,22,15T019       ,200,180,155,0,1
2020/10/15 02:00:00,No.24SC,22,15T019       ,200,180,8445,0,1
2020/10/15 03:00:00,No.24SC,22,15T019       ,200,180,9000,0,1
2020/10/15 04:00:00,No.24SC,22,15T019       ,200,180,9094,0,1
2020/10/15 05:00:00,No.24SC,22,15T019       ,200,181,9713,0,1
2020/10/15 06:00:00,No.24SC,22,15T019       ,200,0,4790,0,1
2020/10/15 07:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/10/15 08:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/10/15 09:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/10/15 10:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/10/15 11:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/10/15 12:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/10/15 13:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/10/15 14:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/10/15 15:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/10/15 16:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/10/15 17:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/10/15 18:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/10/15 19:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/10/15 20:00:00,No.24SC,22,15T019       ,200,190,2933,0,1
2020/10/15 21:00:00,No.24SC,22,15T019       ,200,180,6283,0,1
2020/10/15 22:00:00,No.24SC,22,15T019       ,200,191,7984,0,1
2020/10/15 23:00:00,No.24SC,22,15T019       ,200,180,7372,0,1
2020/10/16 00:00:00,No.24SC,22,15T019       ,200,180,9743,0,1
