[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/08/30 01:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 02:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 03:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 04:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 05:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 06:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 07:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 08:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 09:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 10:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 11:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 12:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 13:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 14:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 15:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 16:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 17:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 18:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 19:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 20:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 21:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 22:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/30 23:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/31 00:00:00,No.24SC,2,13T001       ,200,0,0,0,1
