[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/09/01 01:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/09/01 02:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/09/01 03:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/09/01 04:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/09/01 05:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/09/01 06:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/09/01 07:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/09/01 08:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/09/01 09:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/09/01 10:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/09/01 11:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/09/01 12:00:00,No.24SC,2,13T001       ,200,81,10,0,1
2020/09/01 13:00:00,No.24SC,2,13T001       ,200,201,5348,0,1
2020/09/01 14:00:00,No.24SC,2,13T001       ,200,201,9808,0,1
2020/09/01 15:00:00,No.24SC,2,13T001       ,200,213,8751,0,1
2020/09/01 16:00:00,No.24SC,2,13T001       ,200,201,9492,0,1
2020/09/01 17:00:00,No.24SC,2,13T001       ,200,201,10018,0,1
2020/09/01 18:00:00,No.24SC,2,13T001       ,200,201,8185,0,1
2020/09/01 19:00:00,No.24SC,2,13T001       ,200,213,6772,0,1
2020/09/01 20:00:00,No.24SC,2,13T001       ,200,213,0,0,1
2020/09/01 21:00:00,No.24SC,2,13T001       ,200,213,0,0,1
2020/09/01 22:00:00,No.24SC,2,13T001       ,200,213,0,0,1
2020/09/01 23:00:00,No.24SC,2,13T001       ,200,213,0,0,1
2020/09/02 00:00:00,No.24SC,2,13T001       ,200,213,0,0,1
