[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/06/17 01:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/06/17 02:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/06/17 03:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/06/17 04:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/06/17 05:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/06/17 06:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/06/17 07:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/06/17 08:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/06/17 09:00:00,No.24SC,22,15T019       ,200,2,3775,0,1
2020/06/17 10:00:00,No.24SC,22,15T019       ,200,190,9814,0,1
2020/06/17 11:00:00,No.24SC,22,15T019       ,200,81,9023,0,1
2020/06/17 12:00:00,No.24SC,22,15T019       ,200,201,7897,0,1
2020/06/17 13:00:00,No.24SC,22,15T019       ,200,190,5418,0,1
2020/06/17 14:00:00,No.24SC,22,15T019       ,200,190,7932,0,1
2020/06/17 15:00:00,No.24SC,22,15T019       ,200,191,8551,0,1
2020/06/17 16:00:00,No.24SC,22,15T019       ,200,181,8047,0,1
2020/06/17 17:00:00,No.24SC,22,15T019       ,200,81,9353,0,1
2020/06/17 18:00:00,No.24SC,22,15T019       ,200,181,9164,0,1
2020/06/17 19:00:00,No.24SC,22,15T019       ,200,181,9423,0,1
2020/06/17 20:00:00,No.24SC,22,15T019       ,200,190,10168,0,1
2020/06/17 21:00:00,No.24SC,22,15T019       ,200,201,10992,0,1
2020/06/17 22:00:00,No.24SC,22,15T019       ,200,190,8854,0,1
2020/06/17 23:00:00,No.24SC,22,15T019       ,200,190,10502,0,1
2020/06/18 00:00:00,No.24SC,22,15T019       ,200,0,673,0,1
